figure_id,study_id,title,source_table,script,regeneration_command,svg_path,pdf_path,png_path,status,notes,caption_path,metadata_path,data_checks_path
gaze_fixed_budget,spatial_gaze,HLVid fixed budgets: three common seeds,addenda/r2e_fixed_budget/source_tables/per_seed.csv; addenda/r2e_fixed_budget/source_tables/matched_budget_differences.csv,scripts/render_hlvid_fixed.py,python results/wp5_three_strand_evidence/scripts/render_hlvid_fixed.py --input-dir experiments/human_gaze/results/r2e_hlvid_nvila_fixed_budget_all_seeds --output-dir results/wp5_three_strand_evidence/figures/hlvid_fixed --cross-check-dir results/wp5_three_strand_evidence/addenda/r2e_fixed_budget,figures/hlvid_fixed/hlvid_fixed_common_seeds.svg,figures/hlvid_fixed/hlvid_fixed_common_seeds.pdf,figures/hlvid_fixed/hlvid_fixed_common_seeds.png,rendered_verified_compact_tables,Primary question-micro QA; paired seed endpoints and published 90% video-cluster differences; exactly base seeds 440826-440828; all intervals include zero; no reliable ordering or equivalence. Reads compact tables only and writes WP5 assets; no heavy aggregator or original-bundle writes.,figures/hlvid_fixed/figure_captions.md,figures/hlvid_fixed/hlvid_fixed_common_seeds.json,figures/hlvid_fixed/data_checks.json
gaze_fixed_aggregation_sensitivity,spatial_gaze,HLVid aggregation sensitivity on the same common seeds,addenda/r2e_fixed_budget/source_tables/per_seed.csv; addenda/r2e_fixed_budget/source_tables/matched_budget_differences.csv,scripts/render_hlvid_fixed.py,python results/wp5_three_strand_evidence/scripts/render_hlvid_fixed.py --input-dir experiments/human_gaze/results/r2e_hlvid_nvila_fixed_budget_all_seeds --output-dir results/wp5_three_strand_evidence/figures/hlvid_fixed --cross-check-dir results/wp5_three_strand_evidence/addenda/r2e_fixed_budget,figures/hlvid_fixed/hlvid_fixed_aggregation_sensitivity.svg,figures/hlvid_fixed/hlvid_fixed_aggregation_sensitivity.pdf,figures/hlvid_fixed/hlvid_fixed_aggregation_sensitivity.png,rendered_verified_compact_tables,Secondary point estimates only: primary question micro versus video macro on the same nine checkpoints; no new intervals; excludes additional K16 endpoints and all causal controls.,figures/hlvid_fixed/figure_captions.md,figures/hlvid_fixed/hlvid_fixed_aggregation_sensitivity.json,figures/hlvid_fixed/data_checks.json
gaze_domain_controls,spatial_gaze,In-domain K16 controls,addenda/in_domain_gaze/source_metrics.csv,,,,,,planned,Show learned seeds and deterministic controls without implying paired video significance,,,
gaze_variable,spatial_gaze,Variable versus forced budget,addenda/in_domain_gaze/source_metrics.csv,,,,,,planned,Keep calibration and allocation signal separate from combined-policy coverage,,,
intervention_boundaries,cross_study,Three visual-compute intervention boundaries,https://github.com/noahlatzel/master-thesis/blob/b14792a8c50e614770ad4921d7a9d978571ce075/wiki/project/assets/three-strand-overview/three_visual_compute_interventions.json,https://github.com/noahlatzel/master-thesis/blob/b14792a8c50e614770ad4921d7a9d978571ce075/wiki/project/assets/three-strand-overview/make_interventions.py,python wiki/project/assets/three-strand-overview/make_interventions.py --output artifacts/conceptual/NEW_REPRODUCTION_RUN_ID,https://github.com/noahlatzel/master-thesis/blob/b14792a8c50e614770ad4921d7a9d978571ce075/wiki/project/assets/three-strand-overview/three_visual_compute_interventions.svg,https://github.com/noahlatzel/master-thesis/blob/b14792a8c50e614770ad4921d7a9d978571ce075/wiki/project/assets/three-strand-overview/three_visual_compute_interventions.pdf,https://github.com/noahlatzel/master-thesis/blob/b14792a8c50e614770ad4921d7a9d978571ce075/wiki/project/assets/three-strand-overview/three_visual_compute_interventions.png,published_conceptual_verified,Run in master-thesis wrapper at b14792a8c50e614770ad4921d7a9d978571ce075 into a fresh output directory. Cumulative ToMe main mechanism; temporary spatial merging restores the grid. No measured result or combined pipeline.,https://github.com/noahlatzel/master-thesis/blob/b14792a8c50e614770ad4921d7a9d978571ce075/wiki/project/assets/three-strand-overview/three_visual_compute_interventions.json,https://github.com/noahlatzel/master-thesis/blob/b14792a8c50e614770ad4921d7a9d978571ce075/wiki/project/assets/three-strand-overview/three_visual_compute_interventions.json,addenda/conceptual/manifest.json
temporal_temporal_accuracy_frames_frontier,temporal_selection,Temporal QA and retained frames,addenda/temporal/source_bundle/conditions.csv;addenda/temporal/source_bundle/paired_comparisons.csv;addenda/temporal/source_bundle/timing_cache_strata.csv;addenda/temporal/source_bundle/learned_trajectories.csv,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/src/frame_selection/analysis/temporal_figures.py,python src/frame_selection/analysis/temporal_figures.py --input-dir results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949 --output-dir artifacts/t0/wp5-temporal-figure-reproduction-new,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/temporal_accuracy_frames_frontier.svg,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/temporal_accuracy_frames_frontier.pdf,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/temporal_accuracy_frames_frontier.png,published_source_verified,"Run regeneration from video-frame-selection at 9b26feb3f53c9c2bce131f02c8bdf363b00bf315 into a NEW output directory; no bootstrap or inference. Selected historical HLVid temporal-selection settings at maximum spatial tile budget 48. Panel a plots question-mean retained candidate-grid frames against video-macro QA accuracy (77 equally weighted videos); only point estimates are shown. Gray points connect the fixed-gap sweep on the 128-point grid. Panel b shows paired differences against each setting's same-grid uniform reference, with 90% paired video-bootstrap intervals from 10,000 replicates. These are intervals for differences, not marginal accuracy intervals. The Pixel-MSE .04 setting is an exposed exploratory threshold; the full sweep appears separately. Repeated HLVid test inspection and unmatched frame budgets preclude confirmed threshold or equal-budget superiority claims. The learned policy uses maximum spatial tile budget 1 and is excluded from this figure. Candidate-grid frames are not raw decoded source frames.",https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figure_captions.md,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/temporal_accuracy_frames_frontier.json,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/data_checks.json
temporal_pixel_threshold_sweep,temporal_selection,Exploratory Pixel-MSE threshold sweep,addenda/temporal/source_bundle/conditions.csv;addenda/temporal/source_bundle/paired_comparisons.csv;addenda/temporal/source_bundle/timing_cache_strata.csv;addenda/temporal/source_bundle/learned_trajectories.csv,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/src/frame_selection/analysis/temporal_figures.py,python src/frame_selection/analysis/temporal_figures.py --input-dir results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949 --output-dir artifacts/t0/wp5-temporal-figure-reproduction-new,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/pixel_threshold_sweep.svg,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/pixel_threshold_sweep.pdf,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/pixel_threshold_sweep.png,published_source_verified,"Run regeneration from video-frame-selection at 9b26feb3f53c9c2bce131f02c8bdf363b00bf315 into a NEW output directory; no bootstrap or inference. The complete recorded Pixel-MSE threshold sweep on a 256-point candidate grid. Panel a shows question-mean retained frames. Panel b shows video-macro QA accuracy with marginal 90% video-bootstrap intervals. Panel c shows paired video-macro accuracy differences against Uniform 256 with 90% paired video-bootstrap intervals; all intervals use 10,000 replicates. Dashed lines mark the uniform reference. QA is non-monotonic as the retained-frame count decreases. Because these thresholds were repeatedly inspected on the HLVid test, the apparent peak at .04 is exploratory.",https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figure_captions.md,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/pixel_threshold_sweep.json,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/data_checks.json
temporal_historical_h100_timing,temporal_selection,Historical H100 timing by actual cache state,addenda/temporal/source_bundle/conditions.csv;addenda/temporal/source_bundle/paired_comparisons.csv;addenda/temporal/source_bundle/timing_cache_strata.csv;addenda/temporal/source_bundle/learned_trajectories.csv,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/src/frame_selection/analysis/temporal_figures.py,python src/frame_selection/analysis/temporal_figures.py --input-dir results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949 --output-dir artifacts/t0/wp5-temporal-figure-reproduction-new,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/historical_h100_timing.svg,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/historical_h100_timing.pdf,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/historical_h100_timing.png,published_source_verified,"Run regeneration from video-frame-selection at 9b26feb3f53c9c2bce131f02c8bdf363b00bf315 into a NEW output directory; no bootstrap or inference. Historical per-question timing for all recorded temporal proxy/uniform conditions labeled NVIDIA H100 NVL, separated into cold-decode and frame-cache-hit strata. Blue proxy time is included within each gray-plus-blue total; it is not added a second time. Labels show mean total seconds and the actual number of questions in that stratum. Counts range from 98 to 100 cold-decode questions and 168 to 170 cache-hit questions, summing to 268 per condition. The strata have different video/question composition, and query-free proxy scores were recomputed per question. These historical records do not establish a controlled cache effect or end-to-end speedup. DINOv2 diversity is excluded because it used an RTX PRO 6000 Blackwell GPU.",https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figure_captions.md,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/historical_h100_timing.json,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/data_checks.json
temporal_learned_delta_schedule,temporal_selection,Learned delta: one realized schedule,addenda/temporal/source_bundle/conditions.csv;addenda/temporal/source_bundle/paired_comparisons.csv;addenda/temporal/source_bundle/timing_cache_strata.csv;addenda/temporal/source_bundle/learned_trajectories.csv,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/src/frame_selection/analysis/temporal_figures.py,python src/frame_selection/analysis/temporal_figures.py --input-dir results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949 --output-dir artifacts/t0/wp5-temporal-figure-reproduction-new,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/learned_delta_schedule.svg,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/learned_delta_schedule.pdf,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/learned_delta_schedule.png,published_source_verified,"Run regeneration from video-frame-selection at 9b26feb3f53c9c2bce131f02c8bdf363b00bf315 into a NEW output directory; no bootstrap or inference. The learned DINO-delta policy realized one schedule across all 77 HLVid videos (268 questions): 16-frame blocks starting at candidate-grid positions 0, 48 and 96, with recorded actions 32, 32 and 16. Blue blocks show the 48 retained positions; gray spans show the following gaps. Delta measures a gap after the kept block, so the next start is current start + 16 + delta. This mtv1 deployment establishes fixed-schedule collapse, not adaptive acquisition. Its spatial resolution budget differs from the mtv48 uniform/fixed-gap QA references, and no matched uniform-48 QA comparator is available. Candidate-grid indices are not raw source-frame indices.",https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figure_captions.md,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/learned_delta_schedule.json,https://github.com/noahlatzel/video-frame-selection/blob/9b26feb3f53c9c2bce131f02c8bdf363b00bf315/results/t0/20260909-0315_t0-historical-temporal-evidence_50c1949/figures/data_checks.json
dino_compute_fidelity,token_merging,DINO encoder cost and dense-reference fidelity,addenda/dino/source_bundle/arm_summary.csv;addenda/dino/source_bundle/family_summary.csv;addenda/dino/source_bundle/paired_differences.csv;addenda/dino/source_bundle/timing_summary.csv,https://github.com/noahlatzel/video-tokenization/blob/1accff45ea28f1694b090e3d46c64af2d42a8512/scripts/curate_gaze_dinov3.py,python scripts/curate_gaze_dinov3.py --input-dir results/wp2_dinov3_bridge/20260909-0335_wp2-dinov3-bridge_796ee4f --output-dir results/wp2_dinov3_curation/NEW_REPRODUCTION_RUN_ID,https://github.com/noahlatzel/video-tokenization/blob/1accff45ea28f1694b090e3d46c64af2d42a8512/results/wp2_dinov3_curation/20260909_dinov3_curated_v2/figures/compute_fidelity.svg,https://github.com/noahlatzel/video-tokenization/blob/1accff45ea28f1694b090e3d46c64af2d42a8512/results/wp2_dinov3_curation/20260909_dinov3_curated_v2/figures/compute_fidelity.pdf,https://github.com/noahlatzel/video-tokenization/blob/1accff45ea28f1694b090e3d46c64af2d42a8512/results/wp2_dinov3_curation/20260909_dinov3_curated_v2/figures/compute_fidelity.png,published_source_verified,"Run only in source repository at 1accff45ea28f1694b090e3d46c64af2d42a8512 into a NEW output directory. The source curator recomputes descriptive bootstrap intervals from immutable compact observations; WP5 itself performed no bootstrap or rendering. See pinned caption for fixed endpoints/masks, separate batching and compute boundaries.",https://github.com/noahlatzel/video-tokenization/blob/1accff45ea28f1694b090e3d46c64af2d42a8512/results/wp2_dinov3_curation/20260909_dinov3_curated_v2/figure_captions.md,https://github.com/noahlatzel/video-tokenization/blob/1accff45ea28f1694b090e3d46c64af2d42a8512/results/wp2_dinov3_curation/20260909_dinov3_curated_v2/figures/compute_fidelity.json,https://github.com/noahlatzel/video-tokenization/blob/1accff45ea28f1694b090e3d46c64af2d42a8512/results/wp2_dinov3_curation/20260909_dinov3_curated_v2/validation.json
