base_seed,question_id,video_path,variable_correct,forced_k16_correct,correctness_delta,variable_prediction,forced_k16_prediction
440826,0,clip_av_video_3_000.mp4,1,1,0,B,B
440826,1,clip_av_video_3_000.mp4,0,0,0,B,B
440826,2,clip_av_video_3_000.mp4,0,0,0,D,C
440826,3,clip_av_video_3_000.mp4,0,0,0,A,A
440826,4,clip_av_video_3_000.mp4,0,0,0,A,A
440826,5,clip_av_video_3_001.mp4,1,1,0,B,B
440826,6,clip_av_video_3_001.mp4,0,1,-1,D,B
440826,7,clip_av_video_3_001.mp4,0,0,0,C,C
440826,8,clip_household_video_0_000.mp4,1,1,0,C,C
440826,9,clip_household_video_0_000.mp4,0,0,0,B,B
440826,10,clip_household_video_0_000.mp4,1,1,0,C,C
440826,11,clip_household_video_0_000.mp4,0,1,-1,D,A
440826,12,clip_household_video_0_001.mp4,1,1,0,A,A
440826,13,clip_household_video_0_001.mp4,1,1,0,A,A
440826,14,clip_household_video_0_001.mp4,0,1,-1,D,B
440826,15,clip_household_video_0_001.mp4,0,0,0,B,B
440826,16,clip_household_video_0_001.mp4,0,0,0,A,A
440826,17,clip_household_video_0_001.mp4,0,0,0,D,B
440826,18,clip_household_video_0_001.mp4,1,1,0,A,A
440826,19,clip_household_video_0_001.mp4,1,1,0,B,B
440826,20,clip_household_video_14_000.mp4,1,1,0,A,A
440826,21,clip_household_video_14_000.mp4,1,1,0,C,C
440826,22,clip_household_video_14_000.mp4,1,1,0,C,C
440826,23,clip_household_video_14_000.mp4,1,1,0,B,B
440826,24,clip_household_video_14_000.mp4,1,1,0,A,A
440826,25,clip_household_video_14_000.mp4,0,0,0,C,C
440826,26,clip_household_video_14_000.mp4,1,1,0,C,C
440826,27,clip_household_video_14_000.mp4,1,1,0,B,B
440826,28,clip_household_video_14_000.mp4,1,1,0,C,C
440826,29,clip_household_video_14_000.mp4,1,1,0,D,D
440826,30,clip_household_video_14_000.mp4,0,0,0,A,A
440826,31,clip_household_video_14_000.mp4,1,1,0,D,D
440826,32,clip_household_video_14_000.mp4,1,1,0,D,D
440826,33,clip_household_video_14_000.mp4,0,0,0,C,C
440826,34,clip_household_video_14_000.mp4,0,0,0,B,B
440826,35,clip_household_video_14_000.mp4,1,1,0,C,C
440826,36,clip_household_video_14_000.mp4,1,1,0,A,A
440826,37,clip_household_video_14_000.mp4,0,0,0,B,B
440826,38,clip_household_video_14_000.mp4,1,1,0,C,C
440826,39,clip_household_video_14_000.mp4,0,0,0,D,D
440826,40,clip_household_video_14_000.mp4,0,1,-1,D,C
440826,41,clip_household_video_14_000.mp4,1,1,0,B,B
440826,42,clip_household_video_14_000.mp4,0,0,0,D,D
440826,43,clip_household_video_14_000.mp4,0,0,0,C,C
440826,44,clip_household_video_14_000.mp4,1,1,0,D,D
440826,45,clip_household_video_14_000.mp4,1,1,0,C,C
440826,46,clip_household_video_14_000.mp4,1,1,0,C,C
440826,47,clip_household_video_14_000.mp4,0,1,-1,C,D
440826,48,clip_household_video_14_000.mp4,0,1,-1,D,A
440826,49,clip_household_video_14_000.mp4,1,1,0,B,B
440826,50,clip_household_video_14_001.mp4,0,0,0,C,D
440826,51,clip_household_video_14_001.mp4,0,0,0,D,D
440826,52,clip_household_video_14_001.mp4,1,1,0,D,D
440826,53,clip_household_video_14_001.mp4,0,0,0,D,D
440826,54,clip_household_video_14_001.mp4,1,1,0,D,D
440826,55,clip_household_video_14_001.mp4,1,1,0,D,D
440826,56,clip_household_video_14_001.mp4,0,0,0,D,D
440826,57,clip_household_video_14_001.mp4,0,0,0,A,A
440826,58,clip_household_video_14_001.mp4,0,0,0,A,A
440826,59,clip_household_video_14_001.mp4,0,0,0,B,B
440826,60,clip_household_video_14_001.mp4,0,0,0,C,C
440826,61,clip_household_video_14_001.mp4,0,0,0,D,D
440826,62,clip_household_video_14_001.mp4,0,0,0,D,D
440826,63,clip_household_video_14_002.mp4,1,1,0,B,B
440826,64,clip_household_video_14_002.mp4,0,1,-1,A,C
440826,65,clip_household_video_14_002.mp4,1,1,0,C,C
440826,66,clip_household_video_14_002.mp4,1,0,1,A,D
440826,67,clip_household_video_14_002.mp4,1,0,1,B,A
440826,68,clip_household_video_14_002.mp4,1,1,0,B,B
440826,69,clip_household_video_14_002.mp4,1,1,0,D,D
440826,70,clip_household_video_14_002.mp4,0,1,-1,B,A
440826,71,clip_household_video_14_002.mp4,0,0,0,A,A
440826,72,clip_household_video_14_002.mp4,0,0,0,A,A
440826,73,clip_household_video_14_002.mp4,1,1,0,B,B
440826,74,clip_household_video_14_002.mp4,0,0,0,B,B
440826,75,clip_household_video_14_002.mp4,0,1,-1,D,A
440826,76,clip_household_video_14_002.mp4,1,1,0,C,C
440826,77,clip_household_video_14_003.mp4,1,1,0,B,B
440826,78,clip_household_video_14_003.mp4,0,0,0,A,A
440826,79,clip_av_video_0_000.mp4,1,1,0,B,B
440826,80,clip_av_video_0_000.mp4,0,0,0,B,B
440826,81,clip_av_video_0_000.mp4,0,1,-1,C,D
440826,82,clip_av_video_0_000.mp4,0,0,0,D,B
440826,83,clip_av_video_0_000.mp4,0,0,0,D,D
440826,84,clip_av_video_0_001.mp4,0,0,0,A,D
440826,85,clip_av_video_0_001.mp4,1,1,0,D,D
440826,86,clip_av_video_0_001.mp4,0,0,0,D,D
440826,87,clip_av_video_0_002.mp4,1,1,0,A,A
440826,88,clip_av_video_0_003.mp4,0,0,0,B,B
440826,89,clip_av_video_0_003.mp4,0,1,-1,A,D
440826,90,clip_av_video_5_000.mp4,0,0,0,B,B
440826,91,clip_av_video_5_001.mp4,1,1,0,B,B
440826,92,clip_av_video_5_001.mp4,1,1,0,B,B
440826,93,clip_av_video_5_002.mp4,0,0,0,B,B
440826,94,clip_av_video_5_002.mp4,1,1,0,B,B
440826,95,clip_av_video_5_002.mp4,0,0,0,D,D
440826,96,clip_av_video_5_002.mp4,0,0,0,A,A
440826,97,clip_av_video_5_002.mp4,0,0,0,D,D
440826,98,clip_av_video_5_003.mp4,1,1,0,C,C
440826,99,clip_av_video_25_000.mp4,1,1,0,C,C
440826,100,clip_av_video_25_000.mp4,0,0,0,D,D
440826,101,clip_av_video_25_000.mp4,1,1,0,D,D
440826,102,clip_av_video_25_000.mp4,1,1,0,C,C
440826,103,clip_av_video_25_000.mp4,0,1,-1,A,D
440826,104,clip_av_video_25_000.mp4,0,0,0,C,C
440826,105,clip_av_video_25_001.mp4,1,1,0,D,D
440826,106,clip_av_video_25_001.mp4,0,0,0,B,B
440826,107,clip_av_video_23_000.mp4,1,1,0,C,C
440826,108,clip_av_video_23_001.mp4,0,0,0,A,A
440826,109,clip_av_video_23_001.mp4,0,0,0,C,C
440826,110,clip_av_video_23_001.mp4,0,0,0,B,B
440826,111,clip_av_video_23_001.mp4,0,0,0,C,C
440826,112,clip_av_video_23_002.mp4,1,1,0,C,C
440826,113,clip_household_video_16_000.mp4,0,0,0,A,C
440826,114,clip_household_video_16_001.mp4,0,0,0,B,B
440826,115,clip_household_video_16_001.mp4,0,0,0,B,B
440826,116,clip_household_video_16_001.mp4,0,0,0,A,A
440826,117,clip_household_video_17_000.mp4,0,0,0,B,B
440826,118,clip_household_video_17_000.mp4,1,0,1,B,A
440826,119,clip_household_video_17_000.mp4,1,1,0,D,D
440826,120,clip_household_video_17_000.mp4,1,1,0,B,B
440826,121,clip_household_video_17_000.mp4,1,0,1,A,C
440826,122,clip_household_video_17_000.mp4,1,1,0,D,D
440826,123,clip_household_video_17_000.mp4,1,1,0,D,D
440826,124,clip_household_video_17_000.mp4,1,1,0,C,C
440826,125,clip_household_video_17_000.mp4,0,0,0,C,C
440826,126,clip_av_video_10_000.mp4,1,1,0,C,C
440826,127,clip_av_video_10_000.mp4,1,1,0,D,D
440826,128,clip_av_video_10_000.mp4,1,1,0,B,B
440826,129,clip_av_video_10_001.mp4,1,1,0,C,C
440826,130,clip_av_video_10_001.mp4,0,0,0,A,A
440826,131,clip_av_video_1_001.mp4,1,1,0,D,D
440826,132,clip_av_video_6_000.mp4,0,0,0,D,D
440826,133,clip_av_video_6_000.mp4,0,0,0,B,B
440826,134,clip_av_video_6_000.mp4,0,0,0,B,B
440826,135,clip_av_video_6_001.mp4,0,0,0,D,D
440826,136,clip_av_video_16_000.mp4,0,0,0,D,D
440826,137,clip_av_video_16_000.mp4,0,0,0,D,D
440826,138,clip_av_video_16_000.mp4,0,0,0,C,C
