table_id,study_id,artifact_id,source_table,primary_metric,unit,uncertainty_or_compute_boundary,status
control_endpoint_levels,spatial_gaze,gaze_r2e_controls,addenda/r2e_controls/source_bundle/per_seed.csv,question_micro_accuracy,fractions; correct-question counts,six training endpoints; deterministic controls have no seed count,published_source_hash_verified
control_paired_contrasts,spatial_gaze,gaze_r2e_controls,addenda/r2e_controls/source_bundle/contrast_summary.csv,question_micro_accuracy,accuracy difference in fractions,seed90 and paired-video90 separate; macro sensitivity retained,published_source_hash_verified
control_endpoint_video_intervals,spatial_gaze,gaze_r2e_controls,addenda/r2e_controls/source_bundle/paired_per_seed.csv,question_micro_accuracy,accuracy difference in fractions,77 paired video clusters within each endpoint,published_source_hash_verified
control_video_source,spatial_gaze,gaze_r2e_controls,addenda/r2e_controls/source_bundle/per_video.csv,question_micro_accuracy,video accuracy; question counts,video-macro sensitivity is not primary,published_source_hash_verified
control_stage_telemetry,spatial_gaze,gaze_r2e_controls,addenda/r2e_controls/source_bundle/control_per_example_telemetry.csv,,stage seconds; patch/token/context counts,A40 only; actual valid versus padded fields; warmup is not video cache state,published_source_hash_verified
control_allocation_segments,spatial_gaze,gaze_r2e_controls,addenda/r2e_controls/source_bundle/resource_segments.csv,,reserved seconds; host memory; allocated hardware,all actual A40 segments; preemptions included; not CUDA utilization,published_source_hash_verified
variable_aggregate_contrasts,spatial_gaze,gaze_r2f_paired_accuracy,addenda/r2f_variable_accuracy/source_bundle/paired_aggregate.csv,macro_video_accuracy,accuracy fractions and differences,seed95 and video90 separate; question-micro sensitivity,published_source_hash_verified
variable_endpoint_levels,spatial_gaze,gaze_r2f_paired_accuracy,addenda/r2f_variable_accuracy/source_bundle/per_seed.csv,macro_video_accuracy,accuracy fractions; resource fields missing or nominal,three independent paired endpoints; no measured variable efficiency,published_source_hash_verified
variable_paired_video_source,spatial_gaze,gaze_r2f_paired_accuracy,addenda/r2f_variable_accuracy/source_bundle/paired_videos.csv,macro_video_accuracy,paired per-video accuracy and question counts,77 joint video clusters across both modes and all seeds,published_source_hash_verified
variable_category_sensitivity,spatial_gaze,gaze_r2f_paired_accuracy,addenda/r2f_variable_accuracy/source_bundle/per_category.csv,,category accuracy sensitivity,descriptive categories; no additional independent samples,published_source_hash_verified
variable_allocation_segments,spatial_gaze,gaze_r2f_paired_accuracy,addenda/r2f_variable_accuracy/source_bundle/scheduler/sacct_segments.psv,,reservation seconds; actual nodes and host memory,batch/extern steps not additive GPU lanes; dated scheduler accounting,published_source_hash_verified
